Userid	Notification id	Type	Category	Title	Action	Lat	Lng	Timestamp
"rzVT1o1K"	"0"	"advert"	"announcement"	"bar1"	"swipe_away"	"61.49686444204472"	"23.737343551302565"	"2017-09-14 17:00:00.000"
"dvaP6kHG"	"0"	"survey"	"non-commercial"	"bar1"	"close"	"61.49277717811532"	"23.76624678517474"	"2017-09-14 16:25:00.000"
"r6dvVaaQ"	"0"	"data"	"non-commercial"	"bar1"	"read"	"61.49310986985688"	"23.74743303981871"	"2017-09-14 21:40:00.000"
"y4APx72S"	"0"	"survey"	"announcement"	"bar1"	"answer"	"61.49868016728495"	"23.77138267082121"	"2017-09-14 19:08:00.000"
"ZOJ9JyPS"	"0"	"survey"	"event"	"bar1"	"swipe_away"	"61.49981375254285"	"23.738570215077573"	"2017-09-14 17:15:00.000"
"krWaBoRl"	"0"	"advert"	"event"	"bar1"	"history"	"61.5019823243752"	"23.740747707179004"	"2017-09-14 17:11:00.000"
"cE7QVCfV"	"0"	"survey"	"non-commercial"	"bar1"	"history"	"61.49829394788095"	"23.769932766257472"	"2017-09-14 21:13:00.000"
"CroxTQ0j"	"0"	"advert"	"event"	"bar1"	"answer"	"61.4971926296994"	"23.74134521313533"	"2017-09-14 20:02:00.000"
"jsWFkB2t"	"0"	"survey"	"event"	"bar1"	"read"	"61.499290292630555"	"23.744717282933834"	"2017-09-14 16:31:00.000"
"YUL2GWPX"	"0"	"advert"	"announcement"	"bar1"	"trigger"	"61.49385537933683"	"23.73751511377843"	"2017-09-14 17:51:00.000"
"DmYmQJZj"	"0"	"data"	"commercial"	"bar1"	"close"	"61.50035046352377"	"23.756592486572632"	"2017-09-14 16:01:00.000"
"a81E6zag"	"0"	"data"	"commercial"	"bar1"	"trigger"	"61.49609273069553"	"23.76403033410225"	"2017-09-14 17:26:00.000"
"UdUytgx6"	"0"	"survey"	"commercial"	"bar1"	"read"	"61.500830378299455"	"23.757337030084805"	"2017-09-14 21:38:00.000"
"TDxPlaPy"	"0"	"advert"	"event"	"bar1"	"close"	"61.49836932941215"	"23.751976866132313"	"2017-09-14 16:52:00.000"
"Sv8cOyfi"	"0"	"advert"	"commercial"	"bar1"	"show"	"61.50262314220691"	"23.741810224802375"	"2017-09-14 17:44:00.000"
"DVe3wmQk"	"0"	"advert"	"commercial"	"bar1"	"show"	"61.49376056412579"	"23.74519843931413"	"2017-09-14 17:29:00.000"
"X3Opeiyw"	"0"	"survey"	"event"	"bar1"	"close"	"61.50301747826691"	"23.771644846015974"	"2017-09-14 21:41:00.000"
"6aeTjMmg"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.49759272292295"	"23.739763846954475"	"2017-09-14 17:12:00.000"
"XieNPYWb"	"0"	"advert"	"commercial"	"bar1"	"show"	"61.50019894906209"	"23.75832008992761"	"2017-09-14 18:18:00.000"
"qP8VZnoM"	"0"	"data"	"announcement"	"bar1"	"trigger"	"61.493408589858866"	"23.74832394583496"	"2017-09-14 21:43:00.000"
"9YR9L2uz"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.50250494899295"	"23.73446362223802"	"2017-09-14 21:10:00.000"
"0qYcoLq8"	"0"	"data"	"announcement"	"bar1"	"answer"	"61.49041150698077"	"23.762742385232542"	"2017-09-14 19:06:00.000"
"nux2DqPn"	"0"	"advert"	"non-commercial"	"bar1"	"swipe_away"	"61.494230093643935"	"23.765899598379917"	"2017-09-14 16:32:00.000"
"cE7QVCfV"	"0"	"data"	"announcement"	"bar1"	"read"	"61.49678525926065"	"23.739583719707383"	"2017-09-14 19:17:00.000"
"zywzTxia"	"0"	"advert"	"event"	"bar1"	"close"	"61.491637472709854"	"23.76056189750712"	"2017-09-14 20:31:00.000"
"gwabJUy0"	"0"	"data"	"commercial"	"bar1"	"close"	"61.502529309999474"	"23.756029194941032"	"2017-09-14 16:22:00.000"
"N4LjpssI"	"0"	"survey"	"commercial"	"bar1"	"trigger"	"61.49700136626526"	"23.771371433209453"	"2017-09-14 16:07:00.000"
"QUqDuITl"	"0"	"advert"	"commercial"	"bar1"	"history"	"61.4905998323632"	"23.770082364091355"	"2017-09-14 18:17:00.000"
"ZOfy0Wbb"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.49565513048284"	"23.74163285223353"	"2017-09-14 19:53:00.000"
"vpzL65u7"	"0"	"data"	"commercial"	"bar1"	"history"	"61.491949847962545"	"23.75157790920177"	"2017-09-14 16:34:00.000"
"zIVWzyMD"	"0"	"advert"	"event"	"bar1"	"trigger"	"61.49339500437522"	"23.75229033769764"	"2017-09-14 17:55:00.000"
"bGe0sUnm"	"0"	"data"	"event"	"bar1"	"trigger"	"61.49749032390407"	"23.758144269858036"	"2017-09-14 19:02:00.000"
"K4jWDD47"	"0"	"survey"	"commercial"	"bar1"	"swipe_away"	"61.49805699289604"	"23.74266306888198"	"2017-09-14 20:55:00.000"
"Y63wLN6G"	"0"	"survey"	"announcement"	"bar1"	"history"	"61.49438525014059"	"23.770217303592737"	"2017-09-14 17:22:00.000"
"RLWxblmu"	"0"	"data"	"non-commercial"	"bar1"	"answer"	"61.50023389475557"	"23.763330530600502"	"2017-09-14 18:14:00.000"
"eDg7Y95x"	"0"	"data"	"commercial"	"bar1"	"show"	"61.50184144753259"	"23.74468247577197"	"2017-09-14 16:54:00.000"
"oYrKy9vL"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.497761468278476"	"23.761886859268287"	"2017-09-14 21:60:00.000"
"Q7YFo0Ha"	"0"	"survey"	"announcement"	"bar1"	"show"	"61.49963443777813"	"23.76053366202628"	"2017-09-14 18:07:00.000"
"osZTA6Oq"	"0"	"data"	"commercial"	"bar1"	"answer"	"61.49043590432158"	"23.766976995751275"	"2017-09-14 17:16:00.000"
"GcBjy1Cr"	"0"	"survey"	"announcement"	"bar1"	"answer"	"61.50295355067358"	"23.759331433140094"	"2017-09-14 16:24:00.000"
"zspFyllG"	"0"	"data"	"event"	"bar1"	"answer"	"61.50256052103816"	"23.76533079211001"	"2017-09-14 19:14:00.000"
"A1vvfcdV"	"0"	"advert"	"announcement"	"bar1"	"read"	"61.49233162750591"	"23.735605620373605"	"2017-09-14 21:38:00.000"
"0xBUuYYo"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.50305159190688"	"23.757827729033117"	"2017-09-14 20:31:00.000"
"YUL2GWPX"	"0"	"survey"	"event"	"bar1"	"trigger"	"61.49470334448122"	"23.761961544903734"	"2017-09-14 19:30:00.000"
"YhmQiU22"	"0"	"survey"	"announcement"	"bar1"	"answer"	"61.49479237538937"	"23.750334273604963"	"2017-09-14 18:48:00.000"
"ZQ0uZcYX"	"0"	"survey"	"non-commercial"	"bar1"	"swipe_away"	"61.502505389501216"	"23.73865090010662"	"2017-09-14 16:58:00.000"
"XnETCdyM"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.49481213501505"	"23.75479028131392"	"2017-09-14 21:35:00.000"
"lCRQOc4q"	"0"	"data"	"non-commercial"	"bar1"	"trigger"	"61.50179888701784"	"23.762932311652904"	"2017-09-14 17:04:00.000"
"eerR85wT"	"0"	"advert"	"event"	"bar1"	"trigger"	"61.49055144968962"	"23.75191196565993"	"2017-09-14 17:21:00.000"
"1ugWw2mV"	"0"	"data"	"announcement"	"bar1"	"read"	"61.49720005380379"	"23.734612397088988"	"2017-09-14 20:56:00.000"
"3yajY7GY"	"0"	"data"	"announcement"	"bar1"	"close"	"61.49725200159701"	"23.7720113504508"	"2017-09-14 16:24:00.000"
"47vGulCp"	"0"	"data"	"event"	"bar1"	"answer"	"61.49977915401015"	"23.763607661434552"	"2017-09-14 21:33:00.000"
"yFUPUcBY"	"0"	"data"	"event"	"bar1"	"history"	"61.49459310102722"	"23.769258774233812"	"2017-09-14 20:09:00.000"
"UZRMPFTF"	"0"	"data"	"announcement"	"bar1"	"answer"	"61.50293834077301"	"23.76235300494834"	"2017-09-14 21:00:00.000"
"a2OXKMGq"	"0"	"advert"	"non-commercial"	"bar1"	"read"	"61.49366915187232"	"23.738053791445815"	"2017-09-14 16:56:00.000"
"7I6PuFby"	"0"	"data"	"event"	"bar1"	"read"	"61.497921683435024"	"23.76667215553207"	"2017-09-14 16:58:00.000"
"keiWUNcz"	"0"	"survey"	"non-commercial"	"bar1"	"read"	"61.501200650248016"	"23.73641883157563"	"2017-09-14 21:41:00.000"
"sFfaUtBe"	"0"	"data"	"commercial"	"bar1"	"answer"	"61.50018908380719"	"23.743408902002724"	"2017-09-14 18:05:00.000"
"WO07Luq5"	"0"	"advert"	"non-commercial"	"bar1"	"answer"	"61.491048290999764"	"23.747191781021744"	"2017-09-14 20:13:00.000"
"Q9lIBaoa"	"0"	"advert"	"event"	"bar1"	"answer"	"61.4986136556952"	"23.766367044261855"	"2017-09-14 18:42:00.000"
"nRF0R4WJ"	"0"	"advert"	"commercial"	"bar1"	"history"	"61.50266359617559"	"23.749052788809376"	"2017-09-14 17:48:00.000"
"A4TnwM6R"	"0"	"advert"	"event"	"bar1"	"close"	"61.494872924835526"	"23.756144463601743"	"2017-09-14 18:40:00.000"
"YZ94pAAH"	"0"	"survey"	"event"	"bar1"	"history"	"61.496864902930135"	"23.773301592679264"	"2017-09-14 21:31:00.000"
"QbniG6JY"	"0"	"advert"	"commercial"	"bar1"	"trigger"	"61.49938292254963"	"23.74512113714845"	"2017-09-14 18:14:00.000"
"9aVfHuFw"	"0"	"survey"	"announcement"	"bar1"	"close"	"61.49582052304127"	"23.734494098760354"	"2017-09-14 20:31:00.000"
"YhY7vOcc"	"0"	"advert"	"commercial"	"bar1"	"history"	"61.49655424179913"	"23.747203923382095"	"2017-09-14 19:17:00.000"
"gzcH6jEX"	"0"	"survey"	"announcement"	"bar1"	"show"	"61.49087552783648"	"23.746982376256167"	"2017-09-14 19:47:00.000"
"XUOkudVn"	"0"	"survey"	"announcement"	"bar1"	"history"	"61.49309208570688"	"23.745423665673695"	"2017-09-14 16:43:00.000"
"0zE1koj8"	"0"	"survey"	"non-commercial"	"bar1"	"history"	"61.49875713655861"	"23.758263828468756"	"2017-09-14 16:49:00.000"
"0qYcoLq8"	"0"	"survey"	"non-commercial"	"bar1"	"answer"	"61.49368184995075"	"23.73805037444546"	"2017-09-14 17:40:00.000"
"P17VaN4x"	"0"	"advert"	"non-commercial"	"bar1"	"swipe_away"	"61.49644302861615"	"23.75699981018634"	"2017-09-14 18:38:00.000"
"7dLVI2ze"	"0"	"advert"	"non-commercial"	"bar1"	"swipe_away"	"61.49936398548999"	"23.737393385146724"	"2017-09-14 16:22:00.000"
"WlCzWZQ3"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.49496092091494"	"23.751601164910095"	"2017-09-14 17:05:00.000"
"a49inZoY"	"0"	"advert"	"announcement"	"bar1"	"read"	"61.49693411298035"	"23.770878829792693"	"2017-09-14 18:23:00.000"
"vTTQQsv2"	"0"	"advert"	"commercial"	"bar1"	"show"	"61.49711542838375"	"23.744886536035068"	"2017-09-14 20:32:00.000"
"Kq45zEVo"	"0"	"survey"	"commercial"	"bar1"	"trigger"	"61.49937090353358"	"23.766362709444508"	"2017-09-14 16:12:00.000"
"1ugWw2mV"	"0"	"advert"	"announcement"	"bar1"	"close"	"61.49321774517845"	"23.763618836606334"	"2017-09-14 17:57:00.000"
"EYNQfPOZ"	"0"	"data"	"announcement"	"bar1"	"trigger"	"61.496942305304934"	"23.747535483146475"	"2017-09-14 18:28:00.000"
"a49inZoY"	"0"	"data"	"event"	"bar1"	"close"	"61.501651088467995"	"23.7452159490074"	"2017-09-14 17:56:00.000"
"f2vUd9GS"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.49414986392157"	"23.748743590354223"	"2017-09-14 18:40:00.000"
"sR6cBaIz"	"0"	"data"	"commercial"	"bar1"	"read"	"61.49086702629002"	"23.772153871910024"	"2017-09-14 21:33:00.000"
"0tqILnQY"	"0"	"survey"	"announcement"	"bar1"	"trigger"	"61.497545790779114"	"23.7447597932603"	"2017-09-14 21:13:00.000"
"jFhTnC2B"	"0"	"survey"	"announcement"	"bar1"	"trigger"	"61.497357377106276"	"23.759935422615943"	"2017-09-14 20:02:00.000"
"xL0Rgk1w"	"0"	"data"	"announcement"	"bar1"	"answer"	"61.49278042268724"	"23.749707109041395"	"2017-09-14 19:51:00.000"
"CN24eF1y"	"0"	"survey"	"non-commercial"	"bar1"	"close"	"61.496705147234294"	"23.772250837441856"	"2017-09-14 20:47:00.000"
"LvACOGxx"	"0"	"advert"	"non-commercial"	"bar1"	"close"	"61.49433171222493"	"23.769329484533763"	"2017-09-14 19:07:00.000"
"nXndnOSz"	"0"	"advert"	"announcement"	"bar1"	"show"	"61.49664948220491"	"23.747719659946217"	"2017-09-14 16:13:00.000"
"1ybONpcM"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.49586950177674"	"23.74978891403872"	"2017-09-14 21:37:00.000"
"KAJwKsH8"	"0"	"advert"	"non-commercial"	"bar1"	"answer"	"61.49651872131033"	"23.736894506522333"	"2017-09-14 16:22:00.000"
"EgkGI0OI"	"0"	"advert"	"commercial"	"bar1"	"answer"	"61.49415055600784"	"23.745069901985193"	"2017-09-14 17:29:00.000"
"1j8FMlXm"	"0"	"data"	"non-commercial"	"bar1"	"trigger"	"61.50049052330926"	"23.75604250430768"	"2017-09-14 20:30:00.000"
"9YR9L2uz"	"0"	"survey"	"announcement"	"bar1"	"answer"	"61.49585563588351"	"23.746126411749355"	"2017-09-14 21:52:00.000"
"q2tlazQ9"	"0"	"advert"	"announcement"	"bar1"	"answer"	"61.49427280252688"	"23.75339742291047"	"2017-09-14 19:16:00.000"
"xVfG1gVn"	"0"	"advert"	"commercial"	"bar1"	"read"	"61.498840994800545"	"23.74637458434234"	"2017-09-14 21:24:00.000"
"ObrSgIt2"	"0"	"advert"	"commercial"	"bar1"	"close"	"61.495444744493"	"23.76293806925012"	"2017-09-14 17:59:00.000"
"ak8LFuB9"	"0"	"advert"	"announcement"	"bar1"	"close"	"61.49748914210284"	"23.75400264725666"	"2017-09-14 17:51:00.000"
"KLGE4LLy"	"0"	"survey"	"non-commercial"	"bar1"	"close"	"61.49327152459843"	"23.745705249233335"	"2017-09-14 17:25:00.000"
"CWD7xuj6"	"0"	"data"	"event"	"bar1"	"close"	"61.50017927892457"	"23.77200764272212"	"2017-09-14 17:46:00.000"
"t9OWyZHa"	"0"	"data"	"commercial"	"bar1"	"show"	"61.50306822980838"	"23.75147004115966"	"2017-09-14 18:57:00.000"
"57D2oKYM"	"0"	"data"	"non-commercial"	"bar1"	"show"	"61.491954126395804"	"23.752765370909696"	"2017-09-14 19:05:00.000"
"XdKzoGPw"	"0"	"survey"	"announcement"	"bar1"	"swipe_away"	"61.50311191775529"	"23.77071499138078"	"2017-09-14 16:45:00.000"
"CCPijSSJ"	"0"	"survey"	"non-commercial"	"bar1"	"history"	"61.50337163378271"	"23.739776441281208"	"2017-09-14 19:42:00.000"
"7KX7alCA"	"0"	"data"	"non-commercial"	"bar1"	"swipe_away"	"61.493775378428964"	"23.764494435433363"	"2017-09-14 16:35:00.000"
"0C1dQnoa"	"0"	"survey"	"commercial"	"bar1"	"close"	"61.49817402231523"	"23.76841224003456"	"2017-09-14 18:05:00.000"
"LiXCngbs"	"0"	"data"	"event"	"bar1"	"swipe_away"	"61.502567517846344"	"23.77098192961543"	"2017-09-14 16:27:00.000"
"j5GaHZOf"	"0"	"data"	"event"	"bar1"	"answer"	"61.491244444753164"	"23.75318869706151"	"2017-09-14 20:07:00.000"
"1uwhEz7n"	"0"	"data"	"non-commercial"	"bar1"	"show"	"61.491756092807165"	"23.74881517608566"	"2017-09-14 16:09:00.000"
"DW6veS4i"	"0"	"survey"	"commercial"	"bar1"	"history"	"61.498627836577775"	"23.73823074096525"	"2017-09-14 21:00:00.000"
"47vGulCp"	"0"	"survey"	"commercial"	"bar1"	"trigger"	"61.50311712571748"	"23.765445597818804"	"2017-09-14 17:58:00.000"
"zzESdHR7"	"0"	"data"	"event"	"bar1"	"close"	"61.49240142783143"	"23.76769967620657"	"2017-09-14 19:32:00.000"
"bFiXVY35"	"0"	"survey"	"announcement"	"bar1"	"read"	"61.49821289986018"	"23.757505190501586"	"2017-09-14 18:52:00.000"
"CdLUMSGT"	"0"	"data"	"commercial"	"bar1"	"read"	"61.49076028667675"	"23.754136327159983"	"2017-09-14 16:09:00.000"
"YtJfDaNh"	"0"	"survey"	"non-commercial"	"bar1"	"read"	"61.498937562551724"	"23.741787974912995"	"2017-09-14 16:53:00.000"
"maQQPM4N"	"0"	"data"	"non-commercial"	"bar1"	"show"	"61.49156798043022"	"23.76623288508799"	"2017-09-14 16:33:00.000"
"B2rjvqyJ"	"0"	"data"	"commercial"	"bar1"	"history"	"61.50308896540244"	"23.759668252170638"	"2017-09-14 18:02:00.000"
"w3fnYHbo"	"0"	"survey"	"non-commercial"	"bar1"	"trigger"	"61.49096372789482"	"23.747646357566122"	"2017-09-14 18:50:00.000"
"Ma0cEt3D"	"0"	"data"	"non-commercial"	"bar1"	"show"	"61.500005151036625"	"23.751111997257027"	"2017-09-14 21:06:00.000"
"juaLgrIb"	"0"	"survey"	"announcement"	"bar1"	"trigger"	"61.499220258273986"	"23.73510893220175"	"2017-09-14 19:09:00.000"
"Id8lbKSm"	"0"	"survey"	"event"	"bar1"	"show"	"61.50033392226509"	"23.75636043194877"	"2017-09-14 21:56:00.000"
"nXj3Xze7"	"0"	"survey"	"event"	"bar1"	"answer"	"61.50200485649705"	"23.736057708758302"	"2017-09-14 17:17:00.000"
"lOgxYNpv"	"0"	"survey"	"non-commercial"	"bar1"	"show"	"61.50020494911262"	"23.74473197293023"	"2017-09-14 21:53:00.000"
"47vGulCp"	"0"	"advert"	"non-commercial"	"bar1"	"answer"	"61.496501682581666"	"23.734727673977307"	"2017-09-14 21:00:00.000"
"Zz3Urfy8"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.501010713266545"	"23.76610964015576"	"2017-09-14 16:17:00.000"
"a2owV19b"	"0"	"survey"	"event"	"bar1"	"show"	"61.49348344404113"	"23.77212948294706"	"2017-09-14 21:39:00.000"
"lhtYcERs"	"0"	"advert"	"event"	"bar1"	"close"	"61.49816988400307"	"23.77207787216086"	"2017-09-14 17:20:00.000"
"tq1jxclx"	"0"	"survey"	"announcement"	"bar1"	"read"	"61.49502580317732"	"23.77356429756972"	"2017-09-14 18:29:00.000"
"QByUSgPp"	"0"	"survey"	"non-commercial"	"bar1"	"history"	"61.4991156691738"	"23.73468198422149"	"2017-09-14 16:43:00.000"
"EDxH1a7C"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.50233994981447"	"23.737958302169456"	"2017-09-14 21:45:00.000"
"q2tlazQ9"	"0"	"survey"	"event"	"bar1"	"swipe_away"	"61.50160739253888"	"23.755772930546797"	"2017-09-14 18:12:00.000"
"0tqILnQY"	"0"	"data"	"event"	"bar1"	"history"	"61.49822623659697"	"23.76734672020989"	"2017-09-14 18:58:00.000"
"dEJ43JLM"	"0"	"data"	"commercial"	"bar1"	"close"	"61.49510763085106"	"23.767914227404027"	"2017-09-14 16:59:00.000"
"OLLnPrcl"	"0"	"survey"	"commercial"	"bar1"	"close"	"61.49438789747905"	"23.73843390797243"	"2017-09-14 18:47:00.000"
"aYLN4CaL"	"0"	"data"	"event"	"bar1"	"show"	"61.49612475945402"	"23.761117011547206"	"2017-09-14 21:15:00.000"
"9aVfHuFw"	"0"	"data"	"event"	"bar1"	"answer"	"61.49203833350969"	"23.745763024782168"	"2017-09-14 16:59:00.000"
"dzXgGEOv"	"0"	"survey"	"announcement"	"bar1"	"trigger"	"61.49130558229918"	"23.7476032236302"	"2017-09-14 17:38:00.000"
"osZTA6Oq"	"0"	"advert"	"event"	"bar1"	"answer"	"61.49853903385747"	"23.74934625614904"	"2017-09-14 16:55:00.000"
"S9XsG3Ka"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.49611966455755"	"23.74396848360627"	"2017-09-14 21:22:00.000"
"NTup4cq2"	"0"	"advert"	"commercial"	"bar1"	"read"	"61.50069030569497"	"23.73475203990978"	"2017-09-14 17:36:00.000"
"ONAEO0TI"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.49878678141082"	"23.74990508953675"	"2017-09-14 17:14:00.000"
"LiXCngbs"	"0"	"advert"	"non-commercial"	"bar1"	"history"	"61.500314966076985"	"23.76412284138086"	"2017-09-14 18:55:00.000"
"tp8FwA2U"	"0"	"survey"	"commercial"	"bar1"	"answer"	"61.495194435757455"	"23.757854518444148"	"2017-09-14 19:32:00.000"
"kZEBoPUA"	"0"	"survey"	"non-commercial"	"bar1"	"close"	"61.492453318812956"	"23.764201819620393"	"2017-09-14 20:26:00.000"
"jG6XkDLN"	"0"	"survey"	"event"	"bar1"	"read"	"61.49828832659727"	"23.77124131871019"	"2017-09-14 16:46:00.000"
"2bctEx0M"	"0"	"data"	"announcement"	"bar1"	"answer"	"61.49528466531344"	"23.76917313850478"	"2017-09-14 17:40:00.000"
"zWwj9yin"	"0"	"data"	"event"	"bar1"	"answer"	"61.49299824605489"	"23.73716269136563"	"2017-09-14 16:48:00.000"
"nB0EOxVH"	"0"	"survey"	"announcement"	"bar1"	"read"	"61.49105107901651"	"23.763350494084012"	"2017-09-14 16:08:00.000"
"6ADuw71L"	"0"	"advert"	"event"	"bar1"	"answer"	"61.49158500029015"	"23.75061339371909"	"2017-09-14 18:47:00.000"
"Dhixk9K9"	"0"	"data"	"commercial"	"bar1"	"close"	"61.500988087913456"	"23.755201316973654"	"2017-09-14 16:07:00.000"
"X864pcd9"	"0"	"survey"	"announcement"	"bar1"	"close"	"61.4956501019454"	"23.73962863089812"	"2017-09-14 17:28:00.000"
"WqJH95qR"	"0"	"advert"	"announcement"	"bar1"	"history"	"61.49623240434469"	"23.767596924936857"	"2017-09-14 19:47:00.000"
"52acIMs7"	"0"	"advert"	"event"	"bar1"	"trigger"	"61.50019877927725"	"23.77318380321195"	"2017-09-14 19:41:00.000"
"QkPAGqRW"	"0"	"survey"	"event"	"bar1"	"answer"	"61.49244984777944"	"23.762323829385924"	"2017-09-14 18:38:00.000"
"pdHTvR3d"	"0"	"advert"	"event"	"bar1"	"answer"	"61.498413801513934"	"23.762433389379005"	"2017-09-14 19:24:00.000"
"bvIUJW1C"	"0"	"survey"	"announcement"	"bar1"	"close"	"61.49613528562342"	"23.739047029350623"	"2017-09-14 21:08:00.000"
"OOlUBQte"	"0"	"data"	"non-commercial"	"bar1"	"trigger"	"61.49245443776379"	"23.756758824106928"	"2017-09-14 17:11:00.000"
"nRF0R4WJ"	"0"	"data"	"event"	"bar1"	"close"	"61.49646256232503"	"23.772124302313376"	"2017-09-14 19:38:00.000"
"BJydvDMV"	"0"	"data"	"event"	"bar1"	"close"	"61.49741670531522"	"23.74589099493674"	"2017-09-14 20:46:00.000"
"3q7Ldbzy"	"0"	"data"	"announcement"	"bar1"	"read"	"61.49587661787587"	"23.774105737444792"	"2017-09-14 21:17:00.000"
"givSL2ya"	"0"	"survey"	"non-commercial"	"bar1"	"answer"	"61.49618464136054"	"23.77275509686206"	"2017-09-14 17:44:00.000"
"HZLo855D"	"0"	"advert"	"announcement"	"bar1"	"read"	"61.50216849631034"	"23.762977926440392"	"2017-09-14 21:40:00.000"
"iiHsuoVq"	"0"	"data"	"announcement"	"bar1"	"answer"	"61.49273370501115"	"23.73575189017022"	"2017-09-14 19:14:00.000"
"bIrbcR1N"	"0"	"survey"	"non-commercial"	"bar1"	"swipe_away"	"61.498440011969166"	"23.75641890549902"	"2017-09-14 20:17:00.000"
"Q0vnk0UM"	"0"	"advert"	"event"	"bar1"	"close"	"61.50204864557418"	"23.740379692154708"	"2017-09-14 21:11:00.000"
"nLWdj6Eo"	"0"	"data"	"event"	"bar1"	"trigger"	"61.50137173564159"	"23.73753342710884"	"2017-09-14 21:54:00.000"
"r1VJ38QC"	"0"	"data"	"commercial"	"bar1"	"trigger"	"61.499450507131876"	"23.764124016794696"	"2017-09-14 20:36:00.000"
"qsEWShpG"	"0"	"survey"	"announcement"	"bar1"	"read"	"61.49636378558227"	"23.741394061513294"	"2017-09-14 16:42:00.000"
"WqJH95qR"	"0"	"data"	"commercial"	"bar1"	"close"	"61.493569156582865"	"23.75071621207575"	"2017-09-14 16:18:00.000"
"kHAK1ujs"	"0"	"data"	"non-commercial"	"bar1"	"swipe_away"	"61.500726957417754"	"23.773517219922738"	"2017-09-14 19:42:00.000"
"VDn87r58"	"0"	"data"	"commercial"	"bar1"	"close"	"61.492981232125494"	"23.748526558606386"	"2017-09-14 21:20:00.000"
"FIUCTAII"	"0"	"survey"	"announcement"	"bar1"	"read"	"61.50129543541641"	"23.755837515067526"	"2017-09-14 20:29:00.000"
"givSL2ya"	"0"	"data"	"commercial"	"bar1"	"close"	"61.49565742335291"	"23.748604893203225"	"2017-09-14 20:41:00.000"
"AxVNodZU"	"0"	"survey"	"event"	"bar1"	"read"	"61.502655478101076"	"23.764375127573636"	"2017-09-14 21:13:00.000"
"9PYOyj7d"	"0"	"survey"	"announcement"	"bar1"	"swipe_away"	"61.49083521458173"	"23.771302919250036"	"2017-09-14 21:44:00.000"
